kP,kI,kD,,,,
1.00E-05,1.00E-05,0.0001,,,,
Target,Altitude,Time,P,I,D,Thrott
1000,1140.56,36.68,-136.858,-2503.14,-3.74134,0.299204
1000,1145.18,36.78,-141.483,-2594.79,-3.85721,0.298066
1000,1150.7,36.88,-146.097,-2686.73,-3.9722,0.296926
1000,1154.38,36.98,-150.702,-2778.95,-4.08628,0.295785
1000,1158.96,37.08,-155.297,-2871.43,-4.19948,0.294642
1000,1163.54,37.18,-159.88,-2964.18,-4.31177,0.293496
1000,1168.1,37.28,-164.454,-3057.19,-4.42317,0.292349
1000,1173.57,37.38,-169.016,-3150.45,-4.53368,0.291201
1000,1177.2,37.48,-173.566,-3243.95,-4.64329,0.290051
1000,1181.73,37.58,-178.105,-3337.69,-4.752,0.288899
1000,1186.24,37.68,-182.632,-3431.65,-4.85981,0.287746
1000,1190.75,37.78,-187.146,-3525.83,-4.96672,0.286592
1000,1195.24,37.88,-191.648,-3620.24,-5.07274,0.285436
1000,1200.61,37.98,-196.137,-3714.84,-5.17786,0.284279
1000,1204.18,38.08,-200.614,-3809.65,-5.28208,0.283121
1000,1209.53,38.18,-205.076,-3904.65,-5.38541,0.281962
1000,1213.07,38.28,-209.525,-3999.84,-5.48783,0.280802
1000,1217.5,38.38,-213.96,-4095.2,-5.58935,0.279641
1000,1221.91,38.48,-218.381,-4190.73,-5.68997,0.278479
1000,1226.3,38.58,-222.787,-4286.43,-5.78969,0.277317
1000,1230.68,38.68,-227.178,-4382.27,-5.8885,0.276154
1000,1235.04,38.78,-232.428,-4495.15,-6.00899,0.27481
1000,1239.39,38.88,-235.915,-4574.39,-6.08341,0.273826
1000,1243.72,38.98,-240.26,-4670.65,-6.17952,0.272661
1000,1248.04,39.08,-244.588,-4767.03,-6.27471,0.271497
1000,1252.34,39.18,-248.901,-4863.52,-6.36901,0.270332
1000,1256.62,39.28,-253.197,-4960.12,-6.46239,0.269167
1000,1260.89,39.38,-257.475,-5056.82,-6.55487,0.268002
1000,1265.13,39.48,-261.737,-5153.6,-6.64645,0.266836
1000,1269.36,39.58,-265.981,-5250.46,-6.73711,0.265672
1000,1273.58,39.68,-270.207,-5347.4,-6.82686,0.264507
1000,1277.77,39.78,-274.415,-5444.4,-6.91571,0.263343
1000,1281.94,39.88,-278.605,-5541.45,-7.00364,0.262179
1000,1286.1,39.98,-282.776,-5638.55,-7.09067,0.261015
1000,1290.23,40.08,-286.927,-5735.68,-7.17677,0.259852
1000,1294.35,40.18,-291.06,-5832.84,-7.26197,0.25869
1000,1299.27,40.28,-295.173,-5930.02,-7.34626,0.257529
1000,1303.34,40.38,-299.265,-6027.2,-7.42963,0.256369
1000,1306.58,40.48,-303.338,-6124.39,-7.51208,0.255209
1000,1310.62,40.58,-307.39,-6221.57,-7.59362,0.254051
1000,1315.43,40.68,-311.421,-6318.73,-7.67425,0.252893
1000,1318.62,40.78,-315.431,-6415.87,-7.75397,0.251737
1000,1322.6,40.88,-319.42,-6512.97,-7.83276,0.250583
1000,1326.54,40.98,-323.387,-6610.03,-7.91064,0.24943
1000,1330.47,41.08,-327.332,-6707.03,-7.9876,0.248278
1000,1334.38,41.18,-331.254,-6803.97,-8.06364,0.247128
1000,1339.03,41.28,-335.155,-6900.83,-8.13877,0.24598
1000,1342.89,41.38,-339.032,-6997.61,-8.21297,0.244833
1000,1345.95,41.48,-342.886,-7094.3,-8.28626,0.243689
1000,1349.76,41.58,-346.716,-7190.89,-8.35864,0.242546
1000,1353.55,41.68,-350.523,-7287.37,-8.43009,0.241406
1000,1357.31,41.78,-354.306,-7383.73,-8.50061,0.240268
1000,1361.8,41.88,-358.064,-7479.95,-8.57022,0.239132
1000,1364.77,41.98,-361.798,-7576.04,-8.63891,0.237999
1000,1368.45,42.08,-365.506,-7671.97,-8.70667,0.236868
1000,1372.12,42.18,-369.19,-7767.75,-8.77352,0.23574
1000,1376.48,42.28,-372.848,-7863.36,-8.83944,0.234615
1000,1379.37,42.38,-376.48,-7958.78,-8.90444,0.233492
1000,1382.95,42.48,-380.086,-8054.01,-8.96851,0.232373
1000,1386.51,42.58,-383.665,-8149.05,-9.03166,0.231256
1000,1390.04,42.68,-387.218,-8243.87,-9.09389,0.230143
1000,1393.55,42.78,-390.744,-8338.47,-9.1552,0.229033
1000,1397.02,42.88,-394.243,-8432.85,-9.21558,0.227926
1000,1400.47,42.98,-398.404,-8541.79,-9.29115,0.226666
1000,1404.57,43.08,-401.157,-8620.86,-9.33357,0.225723
1000,1407.28,43.18,-405.251,-8729.11,-9.40694,0.224472
1000,1410.65,43.28,-407.958,-8807.81,-9.44784,0.223535
1000,1413.98,43.38,-411.315,-8900.87,-9.50359,0.222447
1000,1417.29,43.48,-415.306,-9007.99,-9.57368,0.221211
1000,1420.56,43.58,-417.943,-9086.08,-9.61231,0.220283
1000,1423.81,43.68,-421.863,-9192.39,-9.6802,0.219057
1000,1427.66,43.78,-424.452,-9270.04,-9.71732,0.218135
1000,1430.21,43.88,-427.662,-9361.51,-9.76843,0.217068
