Target,Altitude,Time
700,857.429,730.64
700,839.218,730.7
700,833.69,730.76
700,828.132,730.84
700,820.675,730.9
700,815.048,730.96
700,809.391,731.02
700,803.705,731.08
700,797.989,731.14
700,792.243,731.2
700,786.468,731.26
700,780.664,731.32
700,774.83,731.38
700,768.967,731.44
700,763.075,731.5
700,757.154,731.56
700,747.221,731.66
700,741.222,731.72
700,735.195,731.78
700,729.139,731.84
700,723.054,731.9
700,716.94,731.96
700,710.798,732.02
700,704.627,732.08
700,698.428,732.14
700,692.2,732.2
700,685.944,732.26
700,679.659,732.32
700,673.347,732.38
700,667.009,732.44
700,660.646,732.5
700,654.26,732.56
700,647.853,732.62
700,641.427,732.68
700,634.985,732.74
700,628.529,732.8
700,622.062,732.86
700,615.585,732.92
700,609.102,732.98
700,602.615,733.04
700,596.126,733.1
700,589.638,733.16
700,583.155,733.22
700,576.677,733.28
700,570.209,733.34
700,563.752,733.4
700,557.309,733.46
700,550.882,733.52
